left_spec_id,right_spec_id,label
www.garricks.com.au//31,www.ebay.com//53278,1
www.ebay.com//58782,www.ebay.com//24817,0
www.ebay.com//58782,www.ebay.com//43019,0
www.ebay.com//42055,www.ebay.com//54403,0
www.ebay.com//44280,buy.net//6145,0
www.ebay.com//42074,www.ebay.com//47107,0
www.ebay.com//42039,www.ebay.com//43213,0
www.mypriceindia.com//211,www.garricks.com.au//31,0
www.ebay.com//59297,www.priceme.co.nz//2246,0
www.ebay.com//58588,www.ebay.com//42196,0
www.ebay.com//54776,www.ebay.com//45946,0
www.shopbot.com.au//331,www.priceme.co.nz//1762,0
www.ebay.com//53871,www.shopbot.com.au//260,0
www.ebay.com//43741,www.ilgs.net//47,0
www.mypriceindia.com//211,www.ebay.com//43019,0
www.shopmania.in//1646,www.pricedekho.com//1088,0
www.ebay.com//46468,www.shopbot.com.au//1301,0
www.ebay.com//41954,www.ukdigitalcameras.co.uk//130,0
www.ebay.com//46524,www.ebay.com//44635,1
www.shopbot.com.au//331,www.mypriceindia.com//155,1
www.ebay.com//58704,www.ebay.com//54400,0
www.ebay.com//53871,www.ebay.com//57363,0
www.ebay.com//59061,www.ebay.com//55439,0
www.garricks.com.au//66,www.ebay.com//58781,0
www.mypriceindia.com//22,www.ebay.com//25120,0
www.ebay.com//54324,www.mypriceindia.com//155,0
www.walmart.com//697,www.garricks.com.au//66,0
www.ebay.com//43503,www.ebay.com//47191,0
www.ebay.com//54333,www.wexphotographic.com//601,0
www.ebay.com//54217,www.ebay.com//60118,0
www.shopmania.in//1226,www.wexphotographic.com//589,0
www.ebay.com//55954,www.pricedekho.com//1088,0
www.ebay.com//55173,www.camerafarm.com.au//740,0
www.camerafarm.com.au//811,www.ebay.com//45559,0
www.ebay.com//47121,www.price-hunt.com//9877,0
www.ebay.com//45101,www.ebay.com//43259,0
www.ebay.com//53260,www.priceme.co.nz//2246,0
www.price-hunt.com//9794,www.ebay.com//54497,0
www.eglobalcentral.co.uk//361,www.ebay.com//54939,0
www.ebay.com//44670,www.priceme.co.nz//2064,0
www.mypriceindia.com//142,www.gosale.com//1122,0
www.ebay.com//41940,www.ebay.com//42433,0
www.ebay.com//53179,www.ebay.com//48111,0
www.eglobalcentral.co.uk//585,www.ebay.com//54386,0
www.camerafarm.com.au//758,www.ebay.com//60231,0
www.mypriceindia.com//775,www.ebay.com//47725,0
www.ebay.com//44670,www.walmart.com//644,0
www.mypriceindia.com//710,www.ebay.com//25120,0
www.ebay.com//55173,www.priceme.co.nz//1746,0
www.ebay.com//47932,www.shopbot.com.au//1593,0
www.ebay.com//54324,www.ebay.com//46185,0
www.ebay.com//25039,www.ebay.com//52805,0
www.priceme.co.nz//1746,www.camerafarm.com.au//777,0
www.ebay.com//53260,www.ebay.com//55979,0
www.ebay.com//47338,www.ebay.com//48599,0
www.garricks.com.au//66,www.ebay.com//53633,0
www.ebay.com//42073,www.ebay.com//24206,0
www.mypriceindia.com//63,www.ebay.com//46524,0
www.ebay.com//41983,www.ebay.com//46356,0
www.ebay.com//60035,www.pcconnection.com//4476,0
www.ebay.com//55080,www.ebay.com//47191,1
www.pricedekho.com//1093,www.priceme.co.nz//1675,0
www.pricedekho.com//1242,www.ebay.com//60522,0
www.priceme.co.nz//1675,www.eglobalcentral.co.uk//385,0
